Family,Kind,UnrealAsset,OriginalPackage,DurationSeconds,SampleCount,FrameRateNumerator,FrameRateDenominator,PlayRate,TimingContract
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_BasicShoot_Fail,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_BasicShoot_Fail,0.6,19,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_BasicShoot_Loop,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_BasicShoot_Loop,1.2,37,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_BasicShoot_Start,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_BasicShoot_Start,1.0,31,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_CarryASword,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_CarryASword,1.0,31,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_CarryASword_Turn_L,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_CarryASword_Turn_L,1.1666666,36,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_CarryASword_Turn_R,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_CarryASword_Turn_R,1.3666667,42,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_ClimbingWall_Down_End,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_ClimbingWall_Down_End,1.1,34,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_ClimbingWall_Down_L,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_ClimbingWall_Down_L,0.6,19,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_ClimbingWall_Down_R,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_ClimbingWall_Down_R,0.6,19,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_ClimbingWall_Down_Start,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_ClimbingWall_Down_Start,1.1333333,35,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_ClimbingWall_Loop_L_Idle,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_ClimbingWall_Loop_L_Idle,1.6666666,51,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_ClimbingWall_Loop_R_Idle,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_ClimbingWall_Loop_R_Idle,1.6666666,51,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_ClimbingWall_Up_End,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_ClimbingWall_Up_End,1.6666666,51,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_ClimbingWall_Up_L,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_ClimbingWall_Up_L,0.6,19,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_ClimbingWall_Up_R,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_ClimbingWall_Up_R,0.6,19,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_ClimbingWall_Up_Start,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_ClimbingWall_Up_Start,1.1666666,36,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageAir_B,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageAir_B,1.3333334,41,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageAir_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageAir_F,1.3333334,41,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageDown_B,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageDown_B,0.6666667,21,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageDown_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageDown_F,0.6666667,21,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageGrapple_Atk_B_01,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageGrapple_Atk_B_01,1.3333334,41,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageGrapple_Atk_B_02,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageGrapple_Atk_B_02,2.5,76,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageGrapple_DualAxeSword_Atk_01,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageGrapple_DualAxeSword_Atk_01,1.5,46,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageGrapple_DualAxeSword_Atk_02,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageGrapple_DualAxeSword_Atk_02,1.2,37,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageNormal_D_B,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageNormal_D_B,0.7,22,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageNormal_D_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageNormal_D_F,0.7,22,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageNormal_L_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageNormal_L_F,0.7,22,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageNormal_R_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageNormal_R_F,0.73333335,23,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageNormal_U_B,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageNormal_U_B,0.7,22,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageNormal_U_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageNormal_U_F,0.7,22,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageParry_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageParry_F,1.5,46,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageStrong_D_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageStrong_D_F,1.1,34,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageStrong_D_F2,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageStrong_D_F2,1.1,34,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageStrong_L_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageStrong_L_F,1.1,34,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageStrong_R_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageStrong_R_F,1.1,34,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageStrong_U_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageStrong_U_F,1.1,34,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageWeak_D_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageWeak_D_F,0.4,13,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageWeak_L_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageWeak_L_F,0.4,13,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageWeak_R_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageWeak_R_F,0.4,13,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageWeak_U_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_DamageWeak_U_F,0.4,13,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Die_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_Die_F,3.3333333,101,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Down_B_Loop,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_Down_B_Loop,1.6,49,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Down_F_Loop,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_Down_F_Loop,1.6,49,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_FallDown_Loop,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_FallDown_Loop,1.0,31,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_FallDown_Start,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_FallDown_Start,1.9666667,60,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_FastShoot_Dodge_B,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_FastShoot_Dodge_B,1.0666667,33,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_FastShoot_Dodge_L,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_FastShoot_Dodge_L,1.0666667,33,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_FastShoot_Dodge_R,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_FastShoot_Dodge_R,1.3333334,41,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_FastShoot_Fail,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_FastShoot_Fail,0.6,19,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_FastShoot_Shoot,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_FastShoot_Shoot,2.5,76,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_FootSword,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_FootSword,1.0,31,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Getup_B,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_Getup_B,1.2333333,38,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Getup_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_Getup_F,1.3,40,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Groggy_F_End,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_Groggy_F_End,1.0666667,33,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Groggy_F_Loop,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_Groggy_F_Loop,1.5,46,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Groggy_F_Start,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_Groggy_F_Start,0.8333333,26,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_LockOnWalk_B,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_LockOnWalk_B,1.0,31,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_LockOnWalk_B_Bellerian,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_LockOnWalk_B_Bellerian,1.0,31,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_LockOnWalk_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_LockOnWalk_F,1.0,31,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_LockOnWalk_F_Bellerian,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_LockOnWalk_F_Bellerian,1.0,31,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_LockOnWalk_L,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_LockOnWalk_L,1.0,31,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_LockOnWalk_L_Bellerian,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_LockOnWalk_L_Bellerian,1.0,31,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_LockOnWalk_R,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_LockOnWalk_R,1.0,31,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_LockOnWalk_R_Bellerian,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_LockOnWalk_R_Bellerian,1.0,31,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_NoBattleChairSit_End_01,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_NoBattleChairSit_End_01,2.0,61,30,1,1.0,Original sequence time
