SourcePackage,Destination,PlaybackDerivation,FPSNumerator,FPSDenominator,Samples,DurationSeconds,SourceSequenceLength,DilationApplied,RateScale
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_Sprint_FR,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_Sprint_FR,DirectOriginalTimeline,30,1,19,0.6,0.6,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_Sprint_Normal,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_Sprint_Normal,DirectOriginalTimeline,30,1,23,0.73333335,0.73333335,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_StandNormal_F,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_StandNormal_F,DirectOriginalTimeline,30,1,73,2.4,2.4,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_Stand_F,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_Stand_F,DirectOriginalTimeline,30,1,37,1.2,1.2,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_WalkNormal_F,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_WalkNormal_F,DirectOriginalTimeline,30,1,37,1.2,1.2,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_Walk_FL,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_Walk_FL,DirectOriginalTimeline,30,1,37,1.2,1.2,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_Walk_FR,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_Walk_FR,DirectOriginalTimeline,30,1,37,1.2,1.2,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_DamFinalBlow,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_DamFinalBlow,CompositeBake,30,1,66,2.1666667,2.1666667,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_DamageGrapple_Atk_01,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_DamageGrapple_Atk_01,CompositeBake,30,1,31,1.0,1.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_DamageGrapple_Atk_02,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_DamageGrapple_Atk_02,CompositeBake,30,1,31,1.0,1.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_DamageStrong_B,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_DamageStrong_B,CompositeBake,30,1,34,1.1,1.1,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_DamageStrong_D,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_DamageStrong_D,CompositeBake,30,1,34,1.1,1.1,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_DamageStrong_D_2,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_DamageStrong_D_2,CompositeBake,30,1,20,0.6333333,0.6333333,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_DamageStrong_L,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_DamageStrong_L,CompositeBake,30,1,34,1.1,1.1,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_DamageStrong_L_2,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_DamageStrong_L_2,CompositeBake,30,1,20,0.6333333,0.6333333,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_DamageStrong_R,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_DamageStrong_R,CompositeBake,30,1,34,1.1,1.1,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_DamageStrong_R_2,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_DamageStrong_R_2,CompositeBake,30,1,20,0.6333333,0.6333333,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_DamageStrong_U,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_DamageStrong_U,CompositeBake,30,1,34,1.1,1.1,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_DamageStrong_U_2,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_DamageStrong_U_2,CompositeBake,30,1,20,0.6333333,0.6333333,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Die_Down_B,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Die_Down_B,CompositeBake,30,1,331,11.0,11.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Die_Down_F,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Die_Down_F,CompositeBake,30,1,331,11.0,11.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Die_F,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Die_F,CompositeBake,30,1,331,11.0,11.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Die_F_2,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Die_F_2,CompositeBake,30,1,331,11.0,11.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Falling,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Falling,CompositeBake,30,1,4,0.1,0.1,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Normal_Stand_F,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Normal_Stand_F,CompositeBake,30,1,37,1.2,1.2,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_SprintBrake_F,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_SprintBrake_F,CompositeBake,30,1,20,0.6333333,0.6333333,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_SprintBrake_L,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_SprintBrake_L,CompositeBake,30,1,31,1.0,1.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Sprint_Turn_180_L,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Sprint_Turn_180_L,CompositeBake,30,1,25,0.8,0.8,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Sprint_Turn_180_R,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Sprint_Turn_180_R,CompositeBake,30,1,25,0.8,0.8,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Stun_F_End,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Stun_F_End,CompositeBake,30,1,31,1.0,1.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Stun_F_Loop,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Stun_F_Loop,CompositeBake,30,1,91,3.0,3.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Stun_F_Start,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Stun_F_Start,CompositeBake,30,1,31,1.0,1.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Turn_L180,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Turn_L180,CompositeBake,999926,33101,30,0.96000004,0.96000004,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Turn_L90,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Turn_L90,CompositeBake,2800441,92459,22,0.6933333,0.6933333,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Turn_R180,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Turn_R180,CompositeBake,999926,33101,30,0.96000004,0.96000004,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaDog_Turn_R90,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Turn_R90,CompositeBake,30,1,27,0.8666667,0.8666667,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_M_PicaroonDog_DamageParry_F,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaroonDog_DamageParry_F,CompositeBake,30,1,43,1.4,1.4,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_PicaDog_DamageGrapple_Atk_B_01,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_PicaDog_DamageGrapple_Atk_B_01,CompositeBake,30,1,41,1.3333334,1.3333334,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_PicaDog_DamageGrapple_Atk_B_02,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_PicaDog_DamageGrapple_Atk_B_02,CompositeBake,30,1,76,2.5,2.5,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_PicaroonDog_Basic_End_01,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_PicaroonDog_Basic_End_01,CompositeBake,30,1,25,0.8,0.8,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_PicaroonDog_Basic_End_03,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_PicaroonDog_Basic_End_03,CompositeBake,30,1,25,0.8,0.8,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_PicaroonDog_Basic_Loop_01,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_PicaroonDog_Basic_Loop_01,CompositeBake,30,1,181,6.0,6.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Moving/Reaction/AC_PicaroonDog_Basic_Loop_03,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_PicaroonDog_Basic_Loop_03,CompositeBake,30,1,176,5.8333335,5.8333335,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Bite/AC_M_PicaDog_Bite_Ready,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Bite_Ready,CompositeBake,2700000,89437,28,0.89437,0.89437,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Bite/AC_M_PicaDog_Bite_Ready_2,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Bite_Ready_2,CompositeBake,2645060,81761,7,0.18546498,0.18546498,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Bite/AC_M_PicaDog_Bite_Ready_End,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Bite_Ready_End,CompositeBake,2635691,86604,18,0.558589,0.558589,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Bite/AC_M_PicaDog_Bite_Step_1_L_2,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Bite_Step_1_L_2,CompositeBake,3270590,54191,83,1.3586729,1.3333334,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Bite/AC_M_PicaDog_Bite_Step_1_R_2,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Bite_Step_1_R_2,CompositeBake,3270590,54191,83,1.3586729,1.3333334,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Bite/AC_PicaroonDog_N_Bite_Run,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_PicaroonDog_N_Bite_Run,CompositeBake,30,1,19,0.6,0.6,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Claw_Combo/AC_PicaroonDog_Claw,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_PicaroonDog_Claw,CompositeBake,30,1,61,2.0,2.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/DamagedCounter/AC_PicaroonDog_DamageCounter,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_PicaroonDog_DamageCounter,CompositeBake,4951418,81967,66,1.0760261,1.6,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/DamagedCounter/AC_PicaroonDog_GetUp,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_PicaroonDog_GetUp,CompositeBake,999955,16583,68,1.111111,1.3333334,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Evade_B/AC_M_PicaDog_Evade_B,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Evade_B,CompositeBake,5874360,97357,63,1.027539,1.1333333,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Evade_B/AC_M_PicaDog_Normal_Stand_F,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Normal_Stand_F_d1f128fc,CompositeBake,30,1,7,0.2,0.2,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Evade_LR/AC_M_PicaDog_Evade_L,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Evade_L,CompositeBake,3181801,53030,57,0.93333304,0.6666667,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Evade_LR/AC_M_PicaDog_Evade_R,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Evade_R,CompositeBake,3181801,53030,57,0.93333304,0.6666667,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Groggy/AC_PicaroonDog_N_Groggy_F_End,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_PicaroonDog_N_Groggy_F_End,CompositeBake,30,1,31,1.0,1.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Howling/AC_M_PicaDog_Howling_F,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Howling_F,CompositeBake,30,1,69,2.2666667,2.2666667,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Howling/AC_M_PicaDog_Howling_F_Short,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_Howling_F_Short,CompositeBake,2391733,80726,22,0.708794,0.708794,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/LockOnMove/AC_M_PicaDog_LockOnWalk_Idle,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_LockOnWalk_Idle,CompositeBake,1000000,35179,3,0.070358,0.070358,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/LockOnMove/AC_M_PicaDog_LockOnWalk_L,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_LockOnWalk_L,CompositeBake,30,1,37,1.2,1.2,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/LockOnMove/AC_M_PicaDog_LockOnWalk_R,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_LockOnWalk_R,CompositeBake,30,1,37,1.2,1.2,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/RunBite/AC_M_PicaDog_RunBite_L_New,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_RunBite_L_New,CompositeBake,989097,16484,114,1.8832248,1.5,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/RunBite/AC_M_PicaDog_RunBite_R_New,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_RunBite_R_New,CompositeBake,2230016,37241,112,1.8536867,1.5,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/RunBite/AC_M_PicaDog_RunBite_Sprint,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_RunBite_Sprint,CompositeBake,5999999,100000,37,0.6000001,0.6,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/RunBite/AC_M_PicaDog_RunBite_Sprint_2,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_RunBite_Sprint_2,CompositeBake,60,1,25,0.4,0.6,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/RunBite/AC_M_PicaDog_RunsBite_Reaction_1,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_RunsBite_Reaction_1,CompositeBake,1904975,31681,91,1.4967598,1.6,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/RunBite/AC_M_PicaDog_RunsBite_Reaction_2,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_RunsBite_Reaction_2,CompositeBake,30,1,41,1.3333334,1.3333334,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/RunBite/AC_M_PicaDog_SprintBrake_F,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_SprintBrake_F_20135dfd,CompositeBake,30,1,20,0.6333333,0.6333333,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/RunBite/AC_M_PicaDog_SprintBrake_L,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_SprintBrake_L_6e4b3af2,CompositeBake,2280409,38129,94,1.5549829,1.0,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/RunBite/AC_M_PicaDog_SprintBrake_R,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_M_PicaDog_SprintBrake_R,CompositeBake,2280409,38129,94,1.5549829,1.0,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/PicaroonDog/Skill/Smell/AC_PicaroonDog_Smell,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_AC_PicaroonDog_Smell,CompositeBake,30,1,119,3.9333334,3.9333334,False,1.0
